cellosaurus_id,CELL_LINE_NAME,DRUG_NAME,LN_IC50,CELL_LINE_TISSUE_1,CELL_LINE_TISSUE_2,DRUG_TARGET_PATHWAY
CVCL_1534,NCI-H2141,GSK343,3.462436,lung_SCLC,lung_small_cell_carcinoma,Chromatin histone methylation
CVCL_1092,BT-549,AZD1332,4.176626000000001,breast,breast,RTK signaling
CVCL_1385,LS411N,EPZ5676,6.114811,large_intestine,large_intestine,Chromatin histone methylation
CVCL_0167,SK-N-BE(2)-M17,UMI-77,3.220257,neuroblastoma,neuroblastoma,Apoptosis regulation
CVCL_1092,BT-549,LJI308,5.930169,breast,breast,PI3K/MTOR signaling
CVCL_1353,KYSE-450,Dinaciclib,-3.677925,aero_dig_tract,oesophagus,Cell cycle
CVCL_1215,EW-24,Talazoparib,2.161885,bone,ewings_sarcoma,Genome integrity
CVCL_2856,ASH-3,Docetaxel,-1.3048902895470422,thyroid,thyroid,Mitosis
CVCL_1311,IST-Mes1,MK-8776,4.13629,lung,mesothelioma,Cell cycle
CVCL_1515,NCI-H2023,Nutlin-3a (-),4.8686370000000005,lung_NSCLC,lung_NSCLC_adenocarcinoma,p53 pathway
CVCL_1698,SK-MG-1,AZD1332,5.740208999999999,nervous_system,glioma,RTK signaling
CVCL_0220,COLO 320HSR,TAF1_5496,2.178478,large_intestine,large_intestine,Other
CVCL_1261,HCC2157,CDK9_5576,-1.12536,breast,breast,Cell cycle
CVCL_1411,MHH-ES-1,GSK591,4.416621,bone,ewings_sarcoma,Chromatin histone methylation
CVCL_0041,Rh30,Obatoclax Mesylate,1.662629,soft_tissue,rhabdomyosarcoma,Apoptosis regulation
CVCL_1254,HCC1500,AZD8055,-0.0279679999999999,breast,breast,PI3K/MTOR signaling
CVCL_0511,Raji,AZD1208,3.847077,lymphoma,Burkitt_lymphoma,"Other, kinases"
CVCL_1376,LCLC-97TM1,BPD-00008900,4.407991,lung_NSCLC,lung_NSCLC_large cell,Other
CVCL_2315,BICR 78,Afuresertib,2.888164,aero_dig_tract,head and neck,PI3K/MTOR signaling
CVCL_1110,CAL-51,LY2109761,5.457136,breast,breast,Other
CVCL_3117,OVTOKO,Elephantin,2.663024,urogenital_system,ovary,Unclassified
CVCL_1094,C-33 A,SCH772984,2.010585,urogenital_system,cervix,ERK MAPK signaling
CVCL_1715,SW1088,CZC24832,5.642154,nervous_system,glioma,PI3K/MTOR signaling
CVCL_1392,Lu-65,Dasatinib,4.619141,lung_NSCLC,lung_NSCLC_large cell,"Other, kinases"
CVCL_1509,NCI-H196,Dinaciclib,-0.8212389999999999,lung_SCLC,lung_small_cell_carcinoma,Cell cycle
CVCL_1649,RD,XAV939,5.664092,soft_tissue,rhabdomyosarcoma,WNT signaling
CVCL_1167,Daoy,Palbociclib,4.642324,nervous_system,medulloblastoma,Cell cycle
CVCL_0040,WM115,PRIMA-1MET,3.538708999999999,skin,melanoma,p53 pathway
CVCL_0292,HCT 15,AGI-6780,3.057696,large_intestine,large_intestine,Metabolism
CVCL_0090,SNU-182,ERK_2440,3.245004,digestive_system,liver,ERK MAPK signaling
CVCL_1124,CHP-134,PRIMA-1MET,3.105468,neuroblastoma,neuroblastoma,p53 pathway
CVCL_0035,PC-3,Linsitinib,5.494259,urogenital_system,prostate,IGF1R signaling
CVCL_U997,NCI-H2803,OTX015,2.2982150000000003,unknown,unknown,Chromatin other
CVCL_0014,RPMI-8226,WIKI4,3.4883589999999995,myeloma,myeloma,WNT signaling
CVCL_1120,CGTH-W-1,Venetoclax,2.857766,thyroid,thyroid,Apoptosis regulation
CVCL_1132,COLO 684,Ruxolitinib,4.911094,urogenital_system,endometrium,"Other, kinases"
CVCL_0236,Calu-6,Mitoxantrone,0.32641,lung_NSCLC,lung_NSCLC_adenocarcinoma,DNA replication
CVCL_1279,HGC-27,LGK974,3.427475,digestive_system,stomach,WNT signaling
CVCL_2873,CCK-81,Crizotinib,1.449377,large_intestine,large_intestine,RTK signaling
CVCL_0627,SK-ES-1,MG-132,-1.585093,bone,ewings_sarcoma,Protein stability and degradation
CVCL_2315,BICR 78,Wnt-C59,4.895898000000001,aero_dig_tract,head and neck,WNT signaling
CVCL_0041,Rh30,IAP_5620,4.8029150000000005,soft_tissue,rhabdomyosarcoma,Other
CVCL_1098,Hep-G2/C3A,MK-2206,4.6006860000000005,digestive_system,liver,PI3K/MTOR signaling
CVCL_1619,OCI-AML-2,OTX015,-1.815973,leukemia,acute_myeloid_leukaemia,Chromatin other
CVCL_1809,CAL-78,ERK_6604,4.560715,bone,chondrosarcoma,ERK MAPK signaling
CVCL_2067,HDQ-P1,PRT062607,3.099031,breast,breast,"Other, kinases"
CVCL_1326,Karpas-45,LCL161,3.867939,leukemia,lymphoblastic_leukemia,Apoptosis regulation
CVCL_1702,SK-N-FI,GSK591,5.066393,neuroblastoma,neuroblastoma,Chromatin histone methylation
CVCL_1689,SF268,Entinostat,1.779187,nervous_system,glioma,Chromatin histone acetylation
CVCL_1805,ALL-SIL,GSK2606414,2.683227,leukemia,T_cell_leukemia,Metabolism
CVCL_1766,TE-8,Talazoparib,3.377838,aero_dig_tract,oesophagus,Genome integrity
CVCL_1326,Karpas-45,Fludarabine,3.295182,leukemia,lymphoblastic_leukemia,Unclassified
CVCL_2218,TT2609-C02,Irinotecan,4.171937000000001,thyroid,thyroid,DNA replication
CVCL_1577,NCI-H661,Entinostat,2.985068,lung_NSCLC,lung_NSCLC_large cell,Chromatin histone acetylation
CVCL_1334,KMS-12-BM,5-Fluorouracil,4.147036,myeloma,myeloma,Other
CVCL_1533,NCI-H2135,PRT062607,8.062873,lung_NSCLC,lung_NSCLC_not specified,"Other, kinases"
CVCL_1292,HT-1376,Gemcitabine,5.48112,urogenital_system,Bladder,DNA replication
CVCL_A536,NCI-H2461,MIRA-1,6.053743,unknown,unknown,p53 pathway
CVCL_1783,UM-UC-3,AZD3759,2.521074,urogenital_system,Bladder,EGFR signaling
CVCL_1644,PSN1,VE821,4.872183000000001,pancreas,pancreas,Genome integrity
CVCL_1226,GaMG,Savolitinib,2.515957,nervous_system,glioma,RTK signaling
CVCL_1575,NCI-H650,Olaparib,5.180508000000001,lung_NSCLC,lung_NSCLC_adenocarcinoma,Genome integrity
CVCL_1621,OCUB-M,Epirubicin,-1.214981,breast,breast,DNA replication
CVCL_1825,KYAE-1,JAK1_8709,5.529912,aero_dig_tract,oesophagus,"Other, kinases"
CVCL_0013,MOLT-4,Oxaliplatin,4.371511566701448,leukemia,lymphoblastic_leukemia,DNA replication
CVCL_2413,COR-L32,Afuresertib,0.8118920000000001,lung_SCLC,lung_small_cell_carcinoma,PI3K/MTOR signaling
CVCL_0062,MDA-MB-231,MK-8776,3.662074,breast,breast,Cell cycle
CVCL_3216,TK [Human B-cell lymphoma],TAF1_5496,2.529712,lymphoma,B_cell_lymphoma,Other
CVCL_1057,A101D,AT13148,2.845622,skin,melanoma,PI3K/MTOR signaling
CVCL_1557,NCI-H322M,Tamoxifen,4.245129,lung_NSCLC,lung_NSCLC_adenocarcinoma,Hormone-related
CVCL_1575,NCI-H650,KRAS (G12C) Inhibitor-12,3.678303,lung_NSCLC,lung_NSCLC_adenocarcinoma,ERK MAPK signaling
CVCL_1048,639V,BMS-345541,2.180626,urogenital_system,Bladder,Other
CVCL_0359,J82,Trametinib,2.521118,urogenital_system,Bladder,ERK MAPK signaling
CVCL_0332,Hs 578T,Ribociclib,4.303794,breast,breast,Cell cycle
CVCL_1300,HuP-T4,Telomerase Inhibitor IX,2.864063,pancreas,pancreas,Genome integrity
CVCL_1326,Karpas-45,Foretinib,-0.849601,leukemia,lymphoblastic_leukemia,RTK signaling
CVCL_0099,SNU-1,Venetoclax,1.261036,unknown,unknown,Apoptosis regulation
CVCL_1464,NCI-H1355,Ipatasertib,5.232837,lung_NSCLC,lung_NSCLC_adenocarcinoma,PI3K/MTOR signaling
CVCL_2067,HDQ-P1,MK-2206,3.380443,breast,breast,PI3K/MTOR signaling
CVCL_1488,NCI-H1693,Crizotinib,5.512354,lung_NSCLC,lung_NSCLC_adenocarcinoma,RTK signaling
CVCL_1647,RCC10RGB,Gemcitabine,0.017493,kidney,kidney,DNA replication
CVCL_U999,NCI-H2810,Carmustine,5.965014,unknown,unknown,DNA replication
CVCL_1822,Karpas-231,Gallibiscoquinazole,0.955931,leukemia,B_cell_leukemia,Unclassified
CVCL_1644,PSN1,Dinaciclib,-2.1550130000000003,pancreas,pancreas,Cell cycle
CVCL_8787,WM793,Cyclophosphamide,4.208581,skin,melanoma,DNA replication
CVCL_3216,TK [Human B-cell lymphoma],Vorinostat,0.2938949999999999,lymphoma,B_cell_lymphoma,Chromatin histone acetylation
CVCL_1074,AU565,Entospletinib,3.678063,breast,breast,"Other, kinases"
CVCL_1448,NB69,CDK9_5576,-0.830376,neuroblastoma,neuroblastoma,Cell cycle
CVCL_3935,OVCA420,Fulvestrant,4.98242628438179,urogenital_system,ovary,Hormone-related
CVCL_1439,Mo,I-BET-762,3.685798,leukemia,hairy_cell_leukaemia,Chromatin other
CVCL_1899,UPCI-SCC-090,UMI-77,4.102171,aero_dig_tract,head and neck,Apoptosis regulation
CVCL_0388,LAMA-84,Elephantin,1.267506,leukemia,chronic_myeloid_leukaemia,Unclassified
CVCL_3112,OVMIU,AZD5582,2.467011,urogenital_system,ovary,Apoptosis regulation
CVCL_1784,UMC-11,MIRA-1,5.760964,lung_NSCLC,lung_NSCLC_carcinoid,p53 pathway
CVCL_0032,SiHa,Topotecan,3.1431880000000003,urogenital_system,cervix,DNA replication
CVCL_2022,DND-41,Sinularin,2.98137,leukemia,T_cell_leukemia,Unclassified
CVCL_0313,HPAF-II,AZD4547,4.216705,pancreas,pancreas,RTK signaling
CVCL_1626,OS-RC-2,Selumetinib,5.099056,kidney,kidney,ERK MAPK signaling
CVCL_1326,Karpas-45,Topotecan,1.883854,leukemia,lymphoblastic_leukemia,DNA replication
CVCL_0399,LoVo,Lapatinib,3.2273810000000003,large_intestine,large_intestine,EGFR signaling
CVCL_1609,NOMO-1,AZD5438,0.512138,leukemia,acute_myeloid_leukaemia,Cell cycle
CVCL_1610,NOS-1 [Human osteosarcoma],Dihydrorotenone,0.996804,bone,osteosarcoma,Unclassified
CVCL_1866,KOPN-8,MK-8776,1.512586,leukemia,B_cell_leukemia,Cell cycle
CVCL_3119,P32/ISH,MIM1,1.789104,lymphoma,Burkitt_lymphoma,Apoptosis regulation
CVCL_2124,MOLP-8,AZD1208,2.984324,myeloma,myeloma,"Other, kinases"
CVCL_0078,SNU-5,XAV939,3.893614,unknown,unknown,WNT signaling
CVCL_0132,A-375,IGF1R_3801,0.5980320000000001,skin,melanoma,IGF1R signaling
CVCL_1496,NCI-H1793,MIRA-1,7.438105,lung_NSCLC,lung_NSCLC_adenocarcinoma,p53 pathway
CVCL_0220,COLO 320HSR,Selumetinib,5.662098,large_intestine,large_intestine,ERK MAPK signaling
CVCL_1675,SAS,Linsitinib,2.771197,aero_dig_tract,head and neck,IGF1R signaling
CVCL_6774,DOV13,MIM1,4.104703,urogenital_system,ovary,Apoptosis regulation
CVCL_1302,IA-LM,Entinostat,2.895453,lung_NSCLC,lung_NSCLC_large cell,Chromatin histone acetylation
CVCL_1205,ESS-1,WIKI4,3.517152,urogenital_system,endometrium,WNT signaling
CVCL_0008,Daudi,ERK_6604,4.686526000000001,lymphoma,Burkitt_lymphoma,ERK MAPK signaling
CVCL_1380,Loucy,VX-11e,1.931847,leukemia,lymphoblastic_T_cell_leukaemia,ERK MAPK signaling
CVCL_1605,NH-12,MG-132,-1.259302,neuroblastoma,neuroblastoma,Protein stability and degradation
CVCL_3172,SUIT-2,Mitoxantrone,2.655999,pancreas,pancreas,DNA replication
CVCL_1614,OAW28,AZD1332,4.325654,urogenital_system,ovary,RTK signaling
CVCL_1075,BALL-1,CDK9_5576,-1.7929560000000002,leukemia,B_cell_leukemia,Cell cycle
CVCL_1073,ATN-1,Lapatinib,2.647956,leukemia,lymphoblastic_T_cell_leukaemia,EGFR signaling
CVCL_0030,HeLa,Dactolisib,-1.07214,urogenital_system,cervix,PI3K/MTOR signaling
CVCL_1698,SK-MG-1,OTX015,2.625493,nervous_system,glioma,Chromatin other
CVCL_2235,VCaP,BMS-345541,3.25376,urogenital_system,prostate,Other
CVCL_1046,23132/87,Foretinib,1.2968620000000002,digestive_system,stomach,RTK signaling
CVCL_1070,AM-38,Ipatasertib,5.31789,nervous_system,glioma,PI3K/MTOR signaling
CVCL_1185,EB3 [Human Burkitt lymphoma],PD173074,3.270499,lymphoma,Burkitt_lymphoma,RTK signaling
CVCL_2195,SK-GT-4,Ibrutinib,4.836829,aero_dig_tract,oesophagus,"Other, kinases"
CVCL_1081,BE-13,Venetoclax,1.171966,leukemia,lymphoblastic_leukemia,Apoptosis regulation
CVCL_1701,SK-N-DZ,AZD5363,3.170843,neuroblastoma,neuroblastoma,"Other, kinases"
CVCL_1344,KU-19-19,OTX015,-0.402306,urogenital_system,Bladder,Chromatin other
CVCL_1286,HOP-92,Sorafenib,2.95225,lung_NSCLC,lung_NSCLC_large cell,"Other, kinases"
CVCL_1232,GI-ME-N,Cisplatin,3.854502,neuroblastoma,neuroblastoma,DNA replication
CVCL_0139,AGS,BDP-00009066,1.7314619999999998,digestive_system,stomach,Cytoskeleton
CVCL_0400,M059J,Tamoxifen,4.315157,nervous_system,glioma,Hormone-related
CVCL_1441,SJNB-10,Palbociclib,2.794452,neuroblastoma,neuroblastoma,Cell cycle
CVCL_1221,G-402,Ruxolitinib,4.927159,soft_tissue,soft_tissue_other,"Other, kinases"
CVCL_2253,C-4-I,Dihydrorotenone,-0.1497489999999999,urogenital_system,cervix,Unclassified
CVCL_0620,MDA-MB-361,AZD7762,-0.4744499999999999,breast,breast,Cell cycle
CVCL_1847,PaTu 8988t,RVX-208,5.127637,pancreas,pancreas,Chromatin other
CVCL_1177,DMS 53,PFI3,5.855443,lung_SCLC,lung_small_cell_carcinoma,Chromatin other
CVCL_2091,KCL-22,OTX015,0.930744,leukemia,chronic_myeloid_leukaemia,Chromatin other
CVCL_3768,OV-90,PRIMA-1MET,7.040149,urogenital_system,ovary,p53 pathway
CVCL_1356,KYSE-70,Ulixertinib,4.14790291896546,aero_dig_tract,oesophagus,ERK MAPK signaling
CVCL_0623,MDA-MB-436,Eg5_9814,-1.497194,breast,breast,Other
CVCL_2209,SUP-M2,Sapitinib,2.889021,lymphoma,anaplastic_large_cell_lymphoma,EGFR signaling
CVCL_1456,NCI-H1155,LJI308,5.346011,lung_NSCLC,lung_NSCLC_large cell,PI3K/MTOR signaling
CVCL_1380,Loucy,PD173074,1.957078,leukemia,lymphoblastic_T_cell_leukaemia,RTK signaling
CVCL_1289,HSC-4,Navitoclax,1.6818220000000002,aero_dig_tract,head and neck,Apoptosis regulation
CVCL_1357,L-363,Dabrafenib,2.521472,myeloma,myeloma,ERK MAPK signaling
CVCL_1716,SW1271,Obatoclax Mesylate,1.261725,lung_SCLC,lung_small_cell_carcinoma,Apoptosis regulation
CVCL_0021,U-251MG,MK-2206,5.042477,nervous_system,glioma,PI3K/MTOR signaling
CVCL_1349,KYSE-180,MG-132,-1.921162,aero_dig_tract,oesophagus,Protein stability and degradation
CVCL_1889,SU-DHL-10,Sorafenib,1.551925,lymphoma,B_cell_lymphoma,"Other, kinases"
CVCL_0525,SK-HEP-1,PD0325901,0.599542,digestive_system,liver,ERK MAPK signaling
CVCL_1073,ATN-1,Wnt-C59,2.958173,leukemia,lymphoblastic_T_cell_leukaemia,WNT signaling
CVCL_1681,SCC-15,LGK974,4.3616790000000005,aero_dig_tract,head and neck,WNT signaling
CVCL_1300,HuP-T4,Obatoclax Mesylate,2.732362,pancreas,pancreas,Apoptosis regulation
CVCL_1665,RPMI-6666,5-Fluorouracil,1.028227,lymphoma,Hodgkin_lymphoma,Other
CVCL_1347,KYSE-140,YK-4-279,2.885579,aero_dig_tract,oesophagus,Other
CVCL_1469,NCI-H1417,Nutlin-3a (-),2.894446,lung_SCLC,lung_small_cell_carcinoma,p53 pathway
CVCL_0317,HT-1080,BMS-536924,2.670895,soft_tissue,fibrosarcoma,IGF1R signaling
CVCL_0243,DAN-G,CDK9_5038,-2.1902310000000003,pancreas,pancreas,Cell cycle
CVCL_1369,LB771-HNC,Olaparib,5.908938,aero_dig_tract,head and neck,Genome integrity
CVCL_1476,NCI-H1568,AZD1332,5.513829,lung_NSCLC,lung_NSCLC_adenocarcinoma,RTK signaling
CVCL_1550,NCI-H2347,Cytarabine,4.824168,lung_NSCLC,lung_NSCLC_adenocarcinoma,Other
CVCL_1793,WSU-NHL,YK-4-279,0.4256449999999999,lymphoma,lymphoid_neoplasm other,Other
CVCL_1902,WSU-DLCL2,Navitoclax,-0.4595199999999999,lymphoma,B_cell_lymphoma,Apoptosis regulation
CVCL_1292,HT-1376,SCH772984,4.581676,urogenital_system,Bladder,ERK MAPK signaling
CVCL_0035,PC-3,Dactolisib,-1.267715,urogenital_system,prostate,PI3K/MTOR signaling
CVCL_1571,NCI-H596,Camptothecin,0.490403,lung_NSCLC,lung_NSCLC_adenocarcinoma,DNA replication
CVCL_1661,ZR-75-30,Oxaliplatin,7.154172714347574,breast,breast,DNA replication
CVCL_1571,NCI-H596,Venetoclax,3.154974,lung_NSCLC,lung_NSCLC_adenocarcinoma,Apoptosis regulation
CVCL_1303,IGR-1,Leflunomide,5.654803,skin,melanoma,DNA replication
CVCL_0243,DAN-G,VX-11e,1.048104,pancreas,pancreas,ERK MAPK signaling
CVCL_1216,EW-3,MIRA-1,4.531573000000001,bone,ewings_sarcoma,p53 pathway
CVCL_1295,HTC-C3,Uprosertib,4.1696656336633175,thyroid,thyroid,PI3K/MTOR signaling
CVCL_1441,SJNB-10,TAF1_5496,3.005014,neuroblastoma,neuroblastoma,Other
CVCL_0359,J82,Cediranib,4.990829,urogenital_system,Bladder,RTK signaling
CVCL_1661,ZR-75-30,Niraparib,4.8982,breast,breast,Genome integrity
CVCL_1391,Lu-165,UMI-77,2.1147150000000003,lung_SCLC,lung_small_cell_carcinoma,Apoptosis regulation
CVCL_5160,NCI-H3122,Fulvestrant,4.308617713573799,lung_NSCLC,lung_NSCLC_adenocarcinoma,Hormone-related
CVCL_1378,LN-405,Luminespib,-0.0889799999999998,nervous_system,glioma,Protein stability and degradation
CVCL_2047,FU-OV-1,AZD7762,1.516016,urogenital_system,ovary,Cell cycle
CVCL_1189,ECC12,PD0325901,1.632117,digestive_system,stomach,ERK MAPK signaling
CVCL_1239,H4,Pictilisib,-0.14777,nervous_system,glioma,PI3K/MTOR signaling
CVCL_1287,HSC-2,Temozolomide,5.816562,aero_dig_tract,head and neck,DNA replication
CVCL_1240,H9,Telomerase Inhibitor IX,-0.354188,lymphoma,lymphoid_neoplasm other,Genome integrity
CVCL_1344,KU-19-19,Bortezomib,-4.831507,urogenital_system,Bladder,Protein stability and degradation
CVCL_0504,RKO,NVP-ADW742,4.487573,large_intestine,large_intestine,IGF1R signaling
CVCL_1726,SW684,Cytarabine,3.42416,soft_tissue,fibrosarcoma,Other
CVCL_1649,RD,BMS-536924,1.160017,soft_tissue,rhabdomyosarcoma,IGF1R signaling
CVCL_0131,A-172,MIRA-1,5.408551,nervous_system,glioma,p53 pathway
CVCL_0548,SaOS-2,Uprosertib,2.2653262239027097,bone,osteosarcoma,PI3K/MTOR signaling
CVCL_1169,DBTRG-05MG,PD173074,6.884777000000001,nervous_system,glioma,RTK signaling
CVCL_1656,RERF-LC-Sq1,AMG-319,5.606733999999999,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,PI3K/MTOR signaling
CVCL_1650,Reh,Paclitaxel,-4.972568,leukemia,B_cell_leukemia,Mitosis
CVCL_1174,DMS 114,EPZ5676,5.738477,lung_SCLC,lung_small_cell_carcinoma,Chromatin histone methylation
CVCL_1171,Detroit 562,Staurosporine,-4.327131,aero_dig_tract,head and neck,RTK signaling
CVCL_1511,NCI-H1975,Telomerase Inhibitor IX,1.467088,lung_NSCLC,lung_NSCLC_adenocarcinoma,Genome integrity
CVCL_1657,RF-48,IGF1R_3801,2.0499970000000003,digestive_system,stomach,IGF1R signaling
CVCL_1252,HCC1428,Cisplatin,7.472223,breast,breast,DNA replication
CVCL_1254,HCC1500,Navitoclax,-2.303068,breast,breast,Apoptosis regulation
CVCL_3768,OV-90,Pevonedistat,0.950317,urogenital_system,ovary,Other
CVCL_0426,MG-63,ULK1_4989,1.711652,bone,osteosarcoma,"Other, kinases"
CVCL_1320,JVM-3,Gefitinib,1.82504,lymphoma,lymphoid_neoplasm other,EGFR signaling
CVCL_1129,COLO 678,Ulixertinib,2.9197033504482865,large_intestine,large_intestine,ERK MAPK signaling
CVCL_1125,CHP-212,Pictilisib,0.7571410000000001,neuroblastoma,neuroblastoma,PI3K/MTOR signaling
CVCL_0832,Hs 633.T,MK-8776,2.46472,unknown,unknown,Cell cycle
